Clase de ocupación,No de Polizas,Muerte o discapacidad posterior al accidente No de Asegurados,Monto asegurado en Million Yen ,Prima o cuota del seguro en miles de yen,No de Asegurados,Monto diario de seguro en Miles de Yen ,Primas Escritas Thousand Yen ,No de Asegurados.1,Cantidad de asegurados por dia Thousand Yen ,primas escritas Thousand Yen ,Total primas escritas Thousand Yen ,Ano,idCountry
Clase A,422559,5720506,26234887,17356297,4411789,18283304,8678603,3817817,8549665,16292792,42327693,2021,2
Clase B,82105,472719,2686584,2649981,358663,1728985,1142778,322168,937686,2369195,6161955,2021,2
Contrato aplicado al promedio ponderado,3579086,13890042,55614160,49662554,10486931,52510923,42384591,6629223,15408716,36319172,128366318,2021,2
Sin covertura de accidnete no ocupacional,8428,570781,3743596,1576600,386513,2270355,782545,375459,607334,787282,3146428,2021,2
Clase A,799844,6668831,28987534,19860663,5341453,20745968,10413249,4528068,9804656,20136647,50410560,2020,2
Clase B,117103,537431,3022152,3140868,400612,1974328,1436618,361232,1066766,2974406,7551893,2020,2
Contrato aplicado al promedio ponderado,2834240,13046439,53177143,47763845,9925113,49673703,38621208,6141322,14242152,30514097,116899150,2020,2
Sin covertura de accidnete no ocupacional,16804,581706,3831332,1584966,398525,2331673,783910,387537,639945,844405,3213282,2020,2
Clase A,842385,6977077,30820823,21028140,5488442,22086737,10777894,4873422,10743596,20558965,52365001,2019,2
Clase B,125710,600090,3476480,3320751,469681,2271882,1512099,428355,1230792,3043993,7876843,2019,2
Contrato aplicado al promedio ponderado,2625671,12952793,55559580,48217467,10362525,51248995,38202010,6310629,14374630,29771905,116191383,2019,2
Sin covertura de accidnete no ocupacional,18003,593398,3856711,1436213,390249,2336428,742095,379530,652467,772540,2950850,2019,2
